"zip_code","Population","MedianIncome","city","state","latitude","longitude"
92203,27466,68027,"Indio","CA",33.75307,-116.24688
92210,4839,83269,"Indian Wells","CA",33.70129,-116.34148
92211,24564,57557,"Palm Desert","CA",33.759409,-116.32317
92220,32793,39917,"Banning","CA",33.920803,-116.87897
92222,0,0,"Bard","CA",32.782242,-114.561905
92223,46719,64738,"Beaumont","CA",33.945265,-116.9759
92225,23509,43638,"Blythe","CA",33.628333,-114.61905
92227,26818,42711,"Brawley","CA",32.98975,-115.50475
92230,3297,40079,"Cabazon","CA",33.911404,-116.76834
92231,39675,34733,"Calexico","CA",32.683491,-115.48277
92233,10460,32328,"Calipatria","CA",33.131764,-115.51208
92234,52534,43170,"Cathedral City","CA",33.807761,-116.46473
92236,43037,40897,"Coachella","CA",33.679872,-116.17656
92239,428,55750,"Desert Center","CA",33.830029,-115.40124
92240,35878,35315,"Desert Hot Springs","CA",33.952303,-116.50804
92241,9156,34896,"Desert Hot Springs","CA",33.904371,-116.38634
92242,1235,26667,"Earp","CA",34.137179,-114.35823
92243,48615,42206,"El Centro","CA",32.783359,-115.57746
92249,7147,53054,"Heber","CA",32.726931,-115.51245
92250,8461,43264,"Holtville","CA",32.800259,-115.35369
92251,22348,76526,"Imperial","CA",32.853471,-115.58942
92252,9228,39409,"Joshua Tree","CA",34.175926,-116.29137
92253,38462,71697,"La Quinta","CA",33.675373,-116.29649
92254,12300,26491,"Mecca","CA",33.543836,-115.99404
92256,3631,32045,"Morongo Valley","CA",34.066626,-116.55951
92257,1757,18220,"Niland","CA",33.330929,-115.61583
92258,520,25707,"North Palm Springs","CA",33.921502,-116.56703
92259,269,21912,"Ocotillo","CA",32.722049,-115.95998
92260,32855,50309,"Palm Desert","CA",33.715672,-116.38496
92262,26693,46519,"Palm Springs","CA",33.842984,-116.54344
92264,19754,43703,"Palm Springs","CA",33.798669,-116.51887
92266,62,31296,"Palo Verde","CA",33.387467,-114.71352
92267,0,0,"Parker Dam","CA",34.286985,-114.17251
92268,605,41964,"Pioneertown","CA",34.203249,-116.56565
92270,17634,71688,"Rancho Mirage","CA",33.762944,-116.42249
92273,1228,26852,"Seeley","CA",32.792631,-115.69162
92274,18937,27890,"Thermal","CA",33.466287,-116.0688
92275,1413,19375,"Salton City","CA",33.289347,-115.9565
92276,7921,43917,"Thousand Palms","CA",33.821318,-116.38023
92277,24112,37316,"Twentynine Palms","CA",34.165696,-116.03343
